GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coopcycle,com.mycompany.myapp.domain.enumeration,BasketState,0,34,0,0,0,2,0,1,0,1
Coopcycle,com.mycompany.myapp.domain.enumeration,CourseState,0,34,0,0,0,2,0,1,0,1
Coopcycle,com.mycompany.myapp.domain.enumeration,Disponibility,0,24,0,0,0,2,0,1,0,1
Coopcycle,com.mycompany.myapp.domain.enumeration,PaymentMethod,0,44,0,0,0,2,0,1,0,1
Coopcycle,com.mycompany.myapp.security.jwt,JWTFilter,21,30,6,2,3,11,4,3,0,3
Coopcycle,com.mycompany.myapp.security.jwt,TokenProvider,67,108,1,3,18,28,3,4,2,3
Coopcycle,com.mycompany.myapp.security.jwt,JWTConfigurer,0,18,0,0,0,6,0,2,0,2
Coopcycle,com.mycompany.myapp.domain,Payment,43,22,8,0,9,9,7,6,3,6
Coopcycle,com.mycompany.myapp.domain,Order_,3,0,0,0,1,0,1,0,1,0
Coopcycle,com.mycompany.myapp.domain,Basket,75,43,8,0,22,17,13,12,9,12
Coopcycle,com.mycompany.myapp.domain,Product,71,52,8,0,19,21,11,14,7,14
Coopcycle,com.mycompany.myapp.domain,Course_,3,0,0,0,1,0,1,0,1,0
Coopcycle,com.mycompany.myapp.domain,Course,69,37,8,0,19,15,12,10,8,10
Coopcycle,com.mycompany.myapp.domain,AbstractAuditingEntity,0,37,0,0,0,17,0,9,0,9
Coopcycle,com.mycompany.myapp.domain,PersistentAuditEvent,0,95,0,8,0,24,0,18,0,14
Coopcycle,com.mycompany.myapp.domain,PersistentAuditEvent_,3,0,0,0,1,0,1,0,1,0
Coopcycle,com.mycompany.myapp.domain,User,0,196,0,8,0,50,0,34,0,30
Coopcycle,com.mycompany.myapp.domain,Product_,3,0,0,0,1,0,1,0,1,0
Coopcycle,com.mycompany.myapp.domain,Cooperative_,3,0,0,0,1,0,1,0,1,0
Coopcycle,com.mycompany.myapp.domain,Payment_,3,0,0,0,1,0,1,0,1,0
Coopcycle,com.mycompany.myapp.domain,Order,43,22,8,0,9,9,7,6,3,6
Coopcycle,com.mycompany.myapp.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Coopcycle,com.mycompany.myapp.domain,User_,3,0,0,0,1,0,1,0,1,0
Coopcycle,com.mycompany.myapp.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Coopcycle,com.mycompany.myapp.domain,Cooperative,86,54,8,0,21,21,11,13,7,13
Coopcycle,com.mycompany.myapp.domain,Basket_,3,0,0,0,1,0,1,0,1,0
Coopcycle,com.mycompany.myapp.domain,Authority,0,45,0,4,0,11,0,8,0,6
Coopcycle,com.mycompany.myapp.domain,Restaurant,89,51,8,0,22,20,12,12,8,12
Coopcycle,com.mycompany.myapp.domain,Restaurant_,3,0,0,0,1,0,1,0,1,0
Coopcycle,com.mycompany.myapp.repository,CustomAuditEventRepository,12,122,2,10,3,28,3,7,1,3
Coopcycle,com.mycompany.myapp,CoopcycleApp,110,24,10,2,23,8,8,3,2,3
Coopcycle,com.mycompany.myapp,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Coopcycle,com.mycompany.myapp.service,EmailAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
Coopcycle,com.mycompany.myapp.service,UsernameAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
Coopcycle,com.mycompany.myapp.service,MailService,7,174,1,1,2,39,1,6,0,6
Coopcycle,com.mycompany.myapp.service,AuditEventService,0,79,0,0,0,19,0,6,0,6
Coopcycle,com.mycompany.myapp.service,InvalidPasswordException,0,4,0,0,0,2,0,1,0,1
Coopcycle,com.mycompany.myapp.service,UserService,9,612,7,15,2,163,8,32,1,28
Coopcycle,com.mycompany.myapp.service.dto,UserDTO,0,242,0,0,0,60,0,29,0,29
Coopcycle,com.mycompany.myapp.service.dto,PasswordChangeDTO,0,26,0,0,0,12,0,6,0,6
Coopcycle,com.mycompany.myapp.config,CacheConfiguration,0,138,0,2,0,29,0,7,0,6
Coopcycle,com.mycompany.myapp.config,LoggingConfiguration,7,55,6,4,1,16,5,1,0,1
Coopcycle,com.mycompany.myapp.config,CloudDatabaseConfiguration,15,0,0,0,4,0,2,0,2,0
Coopcycle,com.mycompany.myapp.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
Coopcycle,com.mycompany.myapp.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Coopcycle,com.mycompany.myapp.config,WebConfigurer,138,141,14,6,27,33,13,6,3,6
Coopcycle,com.mycompany.myapp.config,LiquibaseConfiguration,4,91,1,1,1,21,1,2,0,2
Coopcycle,com.mycompany.myapp.config,JacksonConfiguration,0,27,0,0,0,7,0,7,0,7
Coopcycle,com.mycompany.myapp.config,DatabaseConfiguration,40,10,4,0,10,4,4,1,2,1
Coopcycle,com.mycompany.myapp.config,SecurityConfiguration,0,220,0,0,0,53,0,5,0,5
Coopcycle,com.mycompany.myapp.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Coopcycle,com.mycompany.myapp.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Coopcycle,com.mycompany.myapp.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Coopcycle,com.mycompany.myapp.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
Coopcycle,com.mycompany.myapp.service.mapper,UserMapper,37,81,4,2,14,23,6,5,3,5
Coopcycle,com.mycompany.myapp.web.rest.errors,ErrorConstants,0,16,0,0,0,5,0,1,0,1
Coopcycle,com.mycompany.myapp.web.rest.errors,EmailAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Coopcycle,com.mycompany.myapp.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
Coopcycle,com.mycompany.myapp.web.rest.errors,BadRequestAlertException,0,54,0,0,0,12,0,5,0,5
Coopcycle,com.mycompany.myapp.web.rest.errors,InvalidPasswordException,0,6,0,0,0,2,0,1,0,1
Coopcycle,com.mycompany.myapp.web.rest.errors,ExceptionTranslator,13,218,4,10,4,42,4,12,0,9
Coopcycle,com.mycompany.myapp.web.rest.errors,LoginAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
